id,host_is_superhost,neighbourhood_group_cleansed,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,reviews_per_month
43777456,f,Manhattan,3,0.0,0.0,2.0,140,30,0,0,0,258,3,5.0,0.24
43777496,f,Brooklyn,4,0.0,1.0,2.0,79,30,3,3,32,32,10,4.8,0.71
43778233,f,Brooklyn,3,0.0,2.0,2.0,275,4,0,9,25,275,8,5.0,0.89
43779411,t,Queens,2,0.0,1.0,1.0,96,2,17,34,64,64,0,0.0,0.0
43779536,t,Queens,2,0.0,1.0,1.0,86,2,1,1,29,29,4,5.0,0.28
43779895,t,Queens,2,0.0,1.0,1.0,87,5,19,49,79,79,26,4.88,26.0
43780694,f,Brooklyn,4,0.0,1.0,1.0,150,2,19,49,79,169,0,0.0,0.0
43784657,f,Brooklyn,8,0.0,3.0,3.0,300,2,24,53,83,358,1,3.0,0.27
43785452,t,Brooklyn,5,0.0,2.0,2.0,928,3,0,15,45,225,7,5.0,0.76
43785672,f,Brooklyn,2,0.0,1.0,1.0,99,30,0,0,0,0,2,5.0,0.15
43785924,f,Queens,2,0.0,1.0,0.0,60,30,0,0,0,0,1,5.0,0.07
43787583,f,Brooklyn,1,0.0,1.0,1.0,40,30,0,0,0,0,0,0.0,0.0
43787640,f,Brooklyn,2,0.0,1.0,1.0,50,7,0,0,0,0,0,0.0,0.0
43787927,f,Queens,2,0.0,1.0,1.0,39,30,0,0,0,0,0,0.0,0.0
43788121,f,Queens,2,0.0,1.0,1.0,39,30,1,1,1,1,0,0.0,0.0
43788246,f,Queens,2,0.0,1.0,1.0,39,30,1,31,31,31,0,0.0,0.0
43788963,t,Brooklyn,2,0.0,1.0,1.0,135,30,2,2,2,60,3,5.0,0.64
43790037,f,Manhattan,2,0.0,0.0,1.0,80,30,0,0,0,0,10,4.0,0.74
43792735,f,Manhattan,2,0.0,1.0,1.0,50,4,0,0,0,0,0,0.0,0.0
43798180,t,Manhattan,2,0.0,1.0,1.0,96,1,6,22,22,22,46,4.96,7.93
43798470,f,Manhattan,4,0.0,1.0,1.0,50,30,12,12,42,170,1,3.0,0.16
